Rank,Name,Platform,Year,Genre,Publisher,Global_Sales
664,Madden NFL 11,PS3,2010,Sports,Electronic Arts,2.38
665,Yu-Gi-Oh! The Duelists of the Roses,PS2,2001,Misc,Konami Digital Entertainment,2.38
666,Madden NFL 08,X360,2007,Sports,Electronic Arts,2.37
667,Half-Life 2,PC,2004,Shooter,Vivendi Games,2.37
668,The Incredibles,PS2,2004,Action,THQ,2.37
669,Tony Hawk's Underground 2,PS2,2004,Sports,Activision,2.37
670,Madden NFL 10,PS3,2009,Sports,Electronic Arts,2.37
671,Kinect Sports: Season Two,X360,2011,Sports,Microsoft Game Studios,2.36
672,Kirby's Dream Land 2,GB,1995,Platform,Nintendo,2.36
673,LEGO Harry Potter: Years 1-4,DS,2010,Action,Warner Bros. Interactive Entertainment,2.35
674,Donkey Kong Land II,GB,1996,Platform,Nintendo,2.35
675,Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,2.35
676,Midnight Club: Los Angeles,X360,2008,Racing,Take-Two Interactive,2.35
677,Skylanders SWAP Force,Wii,2013,Platform,Activision,2.34
678,WWE SmackDown vs Raw 2008,PS2,2007,Fighting,THQ,2.34
679,My Fitness Coach,Wii,2008,Sports,Ubisoft,2.34
680,Resident Evil - Code: Veronica X,PS2,2001,Action,Capcom,2.34
681,The Sims 3,X360,2010,Simulation,Electronic Arts,2.33
682,The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,2.32
683,NBA 2K16,XOne,2015,Sports,Take-Two Interactive,2.32
684,Just Dance Kids,Wii,2010,Misc,Ubisoft,2.32
685,Mario Tennis,N64,2000,Sports,Nintendo,2.32
686,Grand Theft Auto,PS,1997,Action,Take-Two Interactive,2.32
687,James Bond 007: Everything or Nothing,PS2,2004,Shooter,Electronic Arts,2.31
688,WarioWare Touched!,DS,2004,Puzzle,Nintendo,2.31
689,Need For Speed: High Stakes,PS,1999,Racing,Electronic Arts,2.31
690,Chrono Trigger,SNES,1995,Role-Playing,SquareSoft,2.31
691,Cool Boarders 3,PS,1998,Sports,989 Studios,2.31
692,LEGO Marvel Super Heroes,X360,2013,Action,Warner Bros. Interactive Entertainment,2.3
693,Guild Wars 2,PC,2012,Action,NCSoft,2.3
694,Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,Nintendo,2.3
695,Dead Island,PS3,2011,Action,Deep Silver,2.29
696,Tomb Raider II,PC,1997,Action,Eidos Interactive,2.29
697,God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,2.29
698,Need for Speed Underground 2,XB,2004,Racing,Electronic Arts,2.28
699,Pro Evolution Soccer 2010,PS3,2009,Sports,Konami Digital Entertainment,2.28
700,Just Dance 2015,Wii,2014,Misc,Ubisoft,2.28
701,Yokai Watch Busters,3DS,2015,Action,Level 5,2.28
702,Mario Bros.,NES,1983,Platform,Nintendo,2.28
703,FIFA Soccer 09,PS2,2008,Sports,Electronic Arts,2.28
704,Star Wars: The Force Unleashed,PS3,2008,Action,LucasArts,2.28
705,Borderlands 2,PS3,2012,Shooter,Take-Two Interactive,2.28
706,TOCA Touring Car Championship,PS,1997,Racing,Codemasters,2.28
707,Paper Mario: Sticker Star,3DS,2012,Role-Playing,Nintendo,2.27
708,Sonic's Ultimate Genesis Collection,PS3,2009,Misc,Sega,2.27
709,Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,2.27
710,Kirby: Nightmare in Dream Land,GBA,2002,Platform,Nintendo,2.27
711,Wario Land 4,GBA,2001,Platform,Nintendo,2.26
712,Guitar Hero III: Legends of Rock,PS3,2007,Misc,Activision,2.26
713,Call of Duty 3,Wii,N/A,Shooter,Activision,2.26
714,Resident Evil 4,Wii,2007,Action,Capcom,2.26
715,Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,2.25
716,Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,Capcom,2.25
717,Cool Boarders 2,PS,1997,Sports,UEP Systems,2.25
718,Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo,2.25
719,Madden NFL 12,PS3,2011,Sports,Electronic Arts,2.25
720,Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,2.25
721,Dissidia: Final Fantasy,PSP,2008,Fighting,Square Enix,2.25
722,Sonic Advance,GBA,2001,Platform,Sega,2.24
723,Spyro: Season of Ice,GBA,2001,Platform,Vivendi Games,2.23
724,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,Konami Digital Entertainment,2.23
725,LEGO Indiana Jones: The Original Adventures,DS,2008,Action,Activision,2.23
726,Dance Dance Revolution X2,PS2,2009,Simulation,Konami Digital Entertainment,2.23
727,New Super Luigi U,WiiU,2013,Platform,Nintendo,2.22
728,Prince of Persia: The Sands of Time,PS2,2003,Action,Ubisoft,2.22
729,Scribblenauts,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,2.22
730,The Legend of Zelda: Link's Awakening DX,GB,1998,Adventure,Nintendo,2.22
731,Need for Speed: Hot Pursuit,X360,2010,Racing,Electronic Arts,2.22
732,BioShock 2,X360,2010,Shooter,Take-Two Interactive,2.21
733,Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft,2.21
734,Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006,Action,Capcom,2.21
735,Rock Band 2,X360,2008,Misc,Electronic Arts,2.2
736,Frogger,2600,1981,Action,Parker Bros.,2.2
737,Guitar Hero II,X360,2007,Misc,Activision,2.2
738,Wario Land 3,GB,2000,Platform,Nintendo,2.2
739,Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,2.2
740,Sonic Unleashed,Wii,2008,Platform,Sega,2.2
741,High School Musical: Makin' the Cut!,DS,2007,Puzzle,Disney Interactive Studios,2.2
742,Pro Evolution Soccer 2012,PS3,2011,Action,Konami Digital Entertainment,2.19
743,Saints Row,X360,2006,Action,THQ,2.19
744,Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,Activision,2.19
745,Kirby's Pinball Land,GB,1992,Misc,Nintendo,2.19
746,Donkey Kong Country,GB,2000,Platform,Nintendo,2.19
747,Hitman: Absolution,PS3,2012,Action,Square Enix,2.19
748,Yu-Gi-Oh: Duel Monsters 4,GB,2000,Role-Playing,Konami Digital Entertainment,2.18
749,ATV Offroad Fury 2,PS2,2002,Racing,THQ,2.18
750,Forza Motorsport 5,XOne,2013,Racing,Microsoft Game Studios,2.18
751,Madden NFL 25,X360,2013,Sports,Electronic Arts,2.18
752,Pokemon Ranger,DS,2006,Role-Playing,Nintendo,2.18
753,Mario & Luigi: Superstar Saga,GBA,2003,Role-Playing,Nintendo,2.17
754,Final Fantasy XIII,X360,2010,Role-Playing,Square Enix,2.17
755,Star Wars: Rogue Squadron,N64,1998,Simulation,Nintendo,2.17
756,Tennis,NES,1984,Sports,Nintendo,2.17
757,The Sims: House Party,PC,2001,Simulation,Electronic Arts,2.16
758,Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,2.16
759,Syphon Filter 2,PS,2000,Shooter,Sony Computer Entertainment,2.15
760,Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,2.15
761,Volleyball,NES,1987,Sports,Nintendo,2.15
762,FIFA 15,XOne,2014,Sports,Electronic Arts,2.15
763,Call of Duty: Roads to Victory,PSP,2007,Shooter,Activision,2.14
764,Super Mario RPG: Legend of the Seven Stars,SNES,1996,Role-Playing,Nintendo,2.14
765,Mahjong,NES,1983,Misc,Nintendo,2.14
766,R.C. Pro-Am,NES,1988,Racing,Nintendo,2.14
767,SimCity 2000,PC,1992,Simulation,Maxis,2.14
768,Demon Attack,2600,1981,Shooter,Imagic,2.13
769,Dance Dance Revolution Extreme,PS2,2004,Simulation,Konami Digital Entertainment,2.13
770,Tetris DS,DS,2006,Puzzle,Nintendo,2.13
771,Final Fantasy Tactics Advance,GBA,2003,Role-Playing,SquareSoft,2.13
772,Far Cry: Primal,PS4,2016,Action,Ubisoft,2.13
773,Toy Story 3: The Video Game,DS,2010,Action,Disney Interactive Studios,2.12
774,Final Fantasy III,DS,2006,Role-Playing,Square Enix,2.12
775,Kirby's Epic Yarn,Wii,2010,Platform,Nintendo,2.12
776,Project Gotham Racing,XB,2001,Racing,Microsoft Game Studios,2.12
777,Golf,GB,1989,Sports,Nintendo,2.12
778,NBA 2K12,PS3,2011,Sports,Take-Two Interactive,2.11
779,Borderlands,PS3,2009,Shooter,Take-Two Interactive,2.11
780,Tony Hawk's Pro Skater,N64,2000,Sports,Activision,2.11
781,PES 2009: Pro Evolution Soccer,PS3,2008,Sports,Konami Digital Entertainment,2.11
782,Need for Speed: Hot Pursuit 2,PS2,2002,Racing,Electronic Arts,2.11
783,Mario Sports Mix,Wii,2010,Sports,Nintendo,2.11
784,Rock Band,Wii,N/A,Misc,MTV Games,2.11
785,Dynasty Warriors 4,PS2,2003,Action,Tecmo Koei,2.11
786,Mortal Kombat,X360,2011,Fighting,Warner Bros. Interactive Entertainment,2.11
787,Parasite Eve,PS,1998,Role-Playing,SquareSoft,2.1
788,Scooby-Doo! Night of 100 Frights,PS2,2002,Platform,THQ,2.1
789,Project Gotham Racing (JP weekly sales),XB,2002,Action,Microsoft Game Studios,2.1
790,Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,Electronic Arts,2.1
791,Portal 2,X360,2011,Shooter,Valve Software,2.1
792,Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,2.09
793,Derby Stallion,PS,1997,Sports,ASCII Entertainment,2.09
794,Dead Rising,X360,2006,Action,Capcom,2.09
795,Finding Nemo,PS2,2003,Action,THQ,2.09
796,NBA 2K11,X360,2010,Action,Take-Two Interactive,2.09
797,Wipeout: The Game,Wii,2009,Misc,Mindscape,2.09
798,The Sims 2: Pets,DS,2006,Simulation,Electronic Arts,2.09
799,Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,2.09
800,Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,2.09
801,World of Warcraft: Cataclysm,PC,2010,Role-Playing,Activision,2.08
802,Tetris Worlds,PS2,2002,Puzzle,THQ,2.08
803,Need For Speed: Undercover,PS3,2008,Racing,Electronic Arts,2.08
804,Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,2.08
805,Mario Party 5,GC,2003,Misc,Nintendo,2.08
806,Ghostbusters: The Video Game (DS Version),PS3,2010,Action,Take-Two Interactive,2.08
807,Sim Theme Park,PC,1998,Strategy,Electronic Arts,2.08
808,Warcraft: Orcs & Humans,PC,1994,Strategy,Activision,2.08
809,Skate 3,PS3,2010,Sports,Electronic Arts,2.08
810,Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive,2.07
811,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,2.07
812,UFC 2009 Undisputed,X360,2009,Fighting,THQ,2.07
813,Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games,2.07
814,Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001,Strategy,Konami Digital Entertainment,2.07
815,Need for Speed: ProStreet,X360,2007,Racing,Electronic Arts,2.06
816,The Sims 3,PS3,2010,Simulation,Electronic Arts,2.06
817,Tom Clancy's Splinter Cell: Conviction,X360,2010,Action,Ubisoft,2.06
818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005,Role-Playing,Nintendo,2.06
819,The Incredibles,GBA,2004,Action,THQ,2.06
820,R4: Ridge Racer Type 4,PS,1998,Racing,Namco Bandai Games,2.06
821,SoulCalibur II,PS2,2003,Fighting,Namco Bandai Games,2.06
822,Mario & Luigi: Dream Team,3DS,2013,Role-Playing,Nintendo,2.06
823,Need for Speed: ProStreet,PS3,2007,Racing,Electronic Arts,2.05
824,Carnival Games,DS,2008,Misc,Take-Two Interactive,2.05
825,NBA 2K14,PS3,2013,Sports,Take-Two Interactive,2.05
826,Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005,Role-Playing,Nintendo,2.05
827,Sonic Mega Collection,GC,2002,Misc,Infogrames,2.05
828,Diablo III,PS3,2013,Role-Playing,Activision,2.05
829,NBA Jam,GEN,1992,Sports,Arena Entertainment,2.05
830,PGR4 - Project Gotham Racing 4,X360,2007,Racing,Microsoft Game Studios,2.05
831,Kingdom Hearts 358/2 Days,DS,2009,Role-Playing,Square Enix,2.04
832,Dance Central 2,X360,2011,Misc,Microsoft Game Studios,2.04
833,Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,2.04
834,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,Sony Computer Entertainment,2.04
835,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,Ubisoft,2.04
836,Donkey Kong Country,GBA,2003,Platform,Nintendo,2.04
837,Need for Speed: The Run,PS3,2011,Action,Electronic Arts,2.04
838,Madden NFL 15,PS4,2014,Sports,Electronic Arts,2.03
839,1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,2.03
840,Just Dance 3,X360,2011,Misc,Ubisoft,2.03
841,NBA Live 2004,PS2,2003,Sports,Electronic Arts,2.03
842,Dead Space,PS3,2008,Action,Electronic Arts,2.02
843,Call of Duty 2,X360,2005,Shooter,Activision,2.02
844,Madden NFL 15,X360,2014,Sports,Electronic Arts,2.02
845,Forza Horizon,X360,2012,Racing,Microsoft Game Studios,2.02
846,TouchMaster,DS,2007,Puzzle,Midway Games,2.01
847,Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,2.01
848,LEGO Marvel Super Heroes,PS3,2013,Action,Warner Bros. Interactive Entertainment,2
849,Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,2
850,DriveClub,PS4,2014,Racing,Sony Computer Entertainment,2
851,Super Street Fighter II,SNES,1993,Fighting,Nintendo,2
852,Mortal Kombat vs. DC Universe,PS3,2008,Fighting,Midway Games,2
853,Tenchu: Stealth Assassins,PS,1997,Action,Activision,1.99
854,Tennis,GB,1989,Sports,Nintendo,1.99
855,Harry Potter and the Chamber of Secrets,GBA,2002,Action,Electronic Arts,1.99
856,Harry Potter and the Chamber of Secrets,PS,2002,Action,Electronic Arts,1.98
857,SimCity,SNES,1991,Simulation,Nintendo,1.98
858,Battlefield 4,XOne,2013,Shooter,Electronic Arts,1.98
859,Resident Evil 6,X360,2012,Shooter,Capcom,1.98
860,Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,1.97
861,Sonic Classic Collection,DS,2010,Platform,Sega,1.97
862,Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,1.97
863,Call of Duty: World at War,Wii,2008,Shooter,Activision,1.97
864,Devil May Cry 2,PS2,2003,Action,Capcom,1.97
865,Burnout Paradise,PS3,2008,Racing,Electronic Arts,1.97
866,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.97
867,BioShock Infinite,X360,2013,Shooter,Take-Two Interactive,1.96
868,Hot Shots Golf: Open Tee,PSP,2004,Sports,Sony Computer Entertainment,1.96
869,Rad Racer,NES,1986,Racing,Nintendo,1.96
870,Soccer,NES,1985,Sports,Nintendo,1.96
871,Kirby Squeak Squad,DS,2006,Platform,Nintendo,1.96
872,Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,1.96
873,Destiny,X360,2014,Shooter,Activision,1.95
874,Crash Nitro Kart,PS2,2003,Racing,Vivendi Games,1.95
875,Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.95
876,Star Wars: Dark Forces,PC,1994,Shooter,LucasArts,1.95
877,NBA Street Vol. 2,PS2,2003,Sports,Electronic Arts,1.95
878,Def Jam Vendetta,PS2,2003,Fighting,Electronic Arts,1.94
879,FIFA Soccer 09,X360,2008,Sports,Electronic Arts,1.94
880,Who wants to be a millionaire,PC,1999,Misc,Disney Interactive Studios,1.94
881,Scooby Doo and the Cyber Chase,PS,2001,Adventure,THQ,1.94
882,Alleyway,GB,1989,Puzzle,Nintendo,1.94
883,Dragon Ball Z: Budokai 3,PS2,2004,Fighting,Atari,1.94
884,Jet Moto 2,PS,1997,Racing,Sony Computer Entertainment,1.94
885,Tom Clancy's Ghost Recon,PS2,2002,Shooter,Ubisoft,1.94
886,X-Men Legends,PS2,2004,Role-Playing,Activision,1.93
887,Batman: Arkham Origins,X360,2013,Action,Warner Bros. Interactive Entertainment,1.93
888,Guitar Hero: World Tour,PS3,2008,Misc,Activision,1.93
889,Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,1.93
890,Virtua Fighter 2,SAT,1995,Fighting,Sega,1.93
891,Tetris DX,GB,1998,Puzzle,Nintendo,1.93
892,Mortal Kombat vs. DC Universe,X360,2008,Fighting,Midway Games,1.93
893,Watch Dogs,PS3,2014,Action,Ubisoft,1.93
894,Mario Super Sluggers,Wii,2008,Sports,Nintendo,1.93
895,Tomb Raider (2013),X360,2013,Action,Square Enix,1.92
896,The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo,1.92
897,Need for Speed: Shift,X360,2009,Racing,Electronic Arts,1.92
898,Monopoly,Wii,2008,Misc,Electronic Arts,1.92
899,Red Faction,PS2,2001,Shooter,THQ,1.92
900,The Sims: Makin' Magic,PC,2003,Simulation,Electronic Arts,1.92
901,MX Unleashed,PS2,2004,Racing,THQ,1.92
902,PaRappa The Rapper,PS,1996,Misc,Sony Computer Entertainment,1.92
903,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1.92
904,Mario Party 3,N64,2000,Misc,Nintendo,1.91
905,Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts,1.91
906,Game Party 2,Wii,2008,Misc,Midway Games,1.91
907,Destiny: The Taken King,PS4,2015,Shooter,Activision,1.91
908,LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.91
909,Star Wars Rogue Leader: Rogue Squadron II,GC,2001,Simulation,LucasArts,1.9
910,Max Payne 3,PS3,2012,Shooter,Take-Two Interactive,1.9
911,Need for Speed Rivals,PS4,2013,Racing,Electronic Arts,1.89
912,Madden NFL 09,PS3,2008,Sports,Electronic Arts,1.89
913,Yokai Watch,3DS,2013,Role-Playing,Nintendo,1.89
914,Ratchet & Clank Future: A Crack in Time,PS3,2009,Platform,Sony Computer Entertainment,1.88
915,Yu-Gi-Oh! Forbidden Memories,PS,1999,Role-Playing,Konami Digital Entertainment,1.88
916,Mortal Kombat: Deception,PS2,2004,Fighting,Midway Games,1.88
917,Hot Shots Golf 2,PS,1999,Sports,Sony Computer Entertainment,1.88
918,Medal of Honor: European Assault (All Region sales),PS2,2005,Shooter,Electronic Arts,1.88
919,WCW Nitro,PS,1998,Fighting,THQ,1.88
920,High School Musical: Sing It!,PS2,2007,Misc,Disney Interactive Studios,1.87
921,Star Fox Adventures,GC,2002,Adventure,Nintendo,1.87
922,FIFA 2000,PS,1998,Sports,Electronic Arts,1.87
923,Dynasty Warriors 3,PS2,2001,Action,THQ,1.87
924,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,1.87
925,The Legend of Zelda: Oracle of Seasons,GB,2001,Adventure,Nintendo,1.86
926,Madden NFL 06,XB,2005,Sports,Electronic Arts,1.86
927,Shrek 2,PS2,2004,Platform,Activision,1.86
928,The Legend of Dragoon,PS,1999,Role-Playing,Sony Computer Entertainment,1.86
929,Turok 2: Seeds of Evil,N64,1997,Platform,Acclaim Entertainment,1.86
930,SingStar,PS2,2004,Misc,Sony Computer Entertainment,1.86
931,LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,1.86
932,NBA Live 2002,PS2,2001,Sports,Electronic Arts,1.86
933,Phineas and Ferb,DS,2009,Action,Disney Interactive Studios,1.86
934,Chrono Cross,PS,1999,Role-Playing,SquareSoft,1.86
935,GoldenEye 007 (2010),Wii,2010,Action,Activision,1.86
936,Mario Party: Island Tour,3DS,2013,Misc,Nintendo,1.85
937,Jak 3,PS2,2004,Platform,Sony Computer Entertainment,1.85
938,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,1.85
939,Kingdom Hearts: Chain of Memories,GBA,2004,Role-Playing,Square Enix,1.85
940,Pinball,NES,1984,Action,Nintendo,1.85
941,inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment,1.85
942,Gran Turismo Concept 2001 Tokyo,PS2,2001,Racing,Unknown,1.84
943,Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games,1.84
944,NCAA Football 06,PS2,2005,Sports,Electronic Arts,1.84
945,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,1.83
946,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005,Misc,THQ,1.83
947,World of Warcraft: Mists of Pandaria,PC,2012,Role-Playing,Activision,1.83
948,Jet Moto,PS,1996,Racing,Sony Computer Entertainment,1.83
949,Just Cause 3,PS4,2015,Action,Square Enix,1.83
950,Secret of Mana,SNES,1993,Role-Playing,SquareSoft,1.83
951,The Orange Box,X360,2007,Shooter,Electronic Arts,1.83
952,Air Combat,PS,1995,Simulation,Sony Computer Entertainment,1.83
953,Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,1.82
954,Sonic & Knuckles,GEN,1994,Platform,Sega,1.82
955,Namco Museum,PS2,2001,Misc,Namco Bandai Games,1.82
956,The Sims: Hot Date,PC,2001,Simulation,Electronic Arts,1.82
957,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,1.82
958,Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,Nintendo,1.81
959,The Evil Within,PS4,2014,Action,Bethesda Softworks,1.81
960,DDRMAX2: Dance Dance Revolution,PS2,2003,Simulation,Konami Digital Entertainment,1.81
961,Crazy Taxi,DC,2000,Racing,Sega,1.81
962,Virtua Fighter 4,PS2,2002,Fighting,Sega,1.81
963,Sly 2: Band of Thieves,PS2,2004,Platform,Sony Computer Entertainment,1.81
964,Guitar Hero: World Tour,PS2,2008,Misc,Activision,1.8
965,Sonic Advance 2,GBA,2002,Platform,Sega,1.8
966,Madden NFL 07,X360,2006,Sports,Electronic Arts,1.8
967,NBA 2K11,PS3,2010,Action,Take-Two Interactive,1.8
968,NFL GameDay 2000,PS,1999,Sports,989 Studios,1.8
969,Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision,1.79
970,Disney's The Lion King,SNES,1994,Platform,Virgin Interactive,1.79
971,Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment,1.79
972,Kinect Star Wars,X360,2012,Action,Microsoft Game Studios,1.78
973,Midnight Club II,PS2,2003,Racing,Take-Two Interactive,1.78
974,Dragon Quest Monsters: Joker,DS,2006,Role-Playing,Square Enix,1.78
975,SpongeBob SquarePants: SuperSponge,PS,2001,Action,THQ,1.78
976,The Getaway: Black Monday,PS2,2004,Action,Sony Computer Entertainment,1.78
977,Professor Layton and the Mask of Miracle,3DS,2011,Puzzle,Nintendo,1.78
978,Just Cause 2,PS3,2010,Action,Square Enix,1.78
979,Dragon's Dogma,PS3,2012,Role-Playing,Capcom,1.78
980,The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,1.77
981,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,1.77
982,High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios,1.77
983,Wii Party U,WiiU,2013,Misc,Nintendo,1.77
984,Madden NFL 25,PS3,2013,Sports,Electronic Arts,1.77
985,Final Fantasy II,SNES,1991,Role-Playing,Square,1.77
986,Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo,1.77
987,Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios,1.77
988,UFC 2009 Undisputed,PS3,2009,Fighting,THQ,1.77
989,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,1.76
990,WWF Attitude,PS,1998,Fighting,Acclaim Entertainment,1.76
991,The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ,1.76
992,Golden Sun,GBA,2001,Role-Playing,Nintendo,1.76
993,Sonic the Hedgehog 3,GEN,1994,Platform,Sega,1.76
994,Kid Icarus,NES,1986,Platform,Nintendo,1.76
995,Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts,1.76
996,Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft,1.76
997,State of Emergency,PS2,2002,Action,Take-Two Interactive,1.76
998,BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,1.76
999,Hitman: Absolution,X360,2012,Action,Square Enix,1.76
